Key,String
DayFormat,{0}일
DayTime,낮
Night,밤
Action,액션
StatUpFormat,{0} 영감이 올랐다!
StatDownFormat,{0} 영감이 떨어졌다...
Intro_1,"어느 월요일, 교수님이 안오셨다."
Intro_2,숙덕거리는 학생들 말을 들어보면 갑자기 실종 되셨다고 한다.
Intro_3,뭔가 재밌는 줄거리가 써질 것 같은데…
Intro_4,문과 학생으로서 이 기회를 놓칠 수 없다!
Intro_5,오늘부터 추리소설 쓰기를 시작한다.
GoodEnd_1,안녕! 뭐 재미있는 걸 썼나 보네?
GoodEnd_2,"응? 소설을 썼다고? 나 휴가 간 것? 어머, 꽤나 재미있는걸."
GoodEnd_3,응? 지금 읽어 달라고? 근데 어쩌지?
GoodEnd_4,"데모에서 읽어 주긴 너무 긴 내용이라, 풀버전 출시 하면 그때 읽어줄게."
GoodEnd_5,물론 출시되면 말이야!
BadEnd_1,4일이 지나니 실종된 교수님이 돌아오셨다.
BadEnd_2,왜 실종되셨는지 말씀도 없으시고 밀린 과제나 내라고 하신다.
BadEnd_3,뭔가 아이디어만 엄청 생각하다가 쓴 것도 없었어…
BadEnd_4,도대체 난 4일간 뭘 한거지?
BadEnd_5,너무 허무하게 지나갔다.